90587,1,32,Catalonia Sagrada Familia,"9,6","Para mi, por problemas de espalda, es muy importante la comodidad de la cama y puedo decir que las camas son muy cómodas.Gracias al personal por su competencia.","Hemos ido en invierno y por mucho que lo intenté, no pude poner el aire caliente........pasamos un poquito de frío",2019-02-01
90587,1,33,Catalonia Sagrada Familia,"7,5",El hotel está muy bien ,La calefacción de la habitación no funcionaba bien y me encontré dos toallas manchadas (no por culpa del hotel sino de la lavandería me imagino). El parking enfrente con mando no es de mi agrado.,2019-02-01
90587,1,34,Catalonia Sagrada Familia,"8,3","Estaba cerca de parada de cercanías con acceso al aeropuerto y andando podías ir a muchos lugares de interés. Enfrente, una cafetería y tiendas de alimentación abiertas que cualquier hora.",La bañera no tragaba bien el agua.,2019-01-31
90587,1,35,Catalonia Sagrada Familia,"8,3","Muy buena ubicación y sus instalaciones muy grandes, cómodas , limpias y dedicada a los huéspedes. Hasta ordenadores tienes en la planta baja. ","Las mantas que usan en invierno no me parecieron cómodas son de lana una sola y un poco pequeña para una pareja, pero la señora del aseo un amor así que unas por otras.",2019-01-31
90587,1,36,Catalonia Sagrada Familia,10,"Lo que más nos gustó fue el trato del personal. En cuanto a ubicación, está perfecto. Cerca de la Sagrada Familia y de una zona con muchos barecitos, como La Comparsita, que recomiendo en C/independencia, a tres calles del hotel",,2019-01-28
90587,1,37,Catalonia Sagrada Familia,"7,5","El alojamiento bien ubicado, habitación cómoda , buen servicio de atención al cliente, profesionales y muy amables, en resumen todo muy correcto.",La habitación un poco más grande pero en general estuvo todo bastante correcto.,2019-01-24
90587,1,38,Catalonia Sagrada Familia,"9,2","Si. Es un hotel limpio, con habitaciones muy bonitas y cerca de todo","Los precios del servicio a la habitación son ridículamente exorbitantes. Un refresco 4,50€, una pizza individual 18€. Absurdo ",2019-01-23
90587,1,39,Catalonia Sagrada Familia,"8,8","El personal fue muy atento, el hotel está cerca del tren de cercanías que va al aeropuerto y de una estación de metro. Tuve una habitación con balcón, que tenía mesa y sillas, ideal para poder fumar.",,2019-01-20
90587,1,40,Catalonia Sagrada Familia,10,"Simplemente perfecto; confort, instalaciones, limpieza, atención del personal, situación, precio, ...  no soy capaz de encontrar un pero.",Es la primera vez que no encuentro un pero. ,2019-01-19
90587,1,41,Catalonia Sagrada Familia,"8,3","Viaje para visitar a un familiar, por lo tanto la ubicación perfecta para mi. La habitación limpia y cómoda,  sin ruidos pese a dar a una calle de mucho transito",Echamos en falta alguna almohada más un poco más blands,2019-01-14
90587,1,42,Catalonia Sagrada Familia,"7,9","la ubicacion, perfecto para coger el tren al aeropuerto. agua de cortesia.","la calefaccion no se podia regular y hacia mucho calor en la habitacion, la insonorizacion no es de las mejores, mas si tienes vecinos ruidosos, pero relacion calidad precio esta bien.",2019-01-14
90587,1,43,Catalonia Sagrada Familia,"4,6",,"El aire de la calefacción de la habitación hacía mucho ruido como si fuera una turbina de avión, hasta tal punto de tener que pararlo y pasar frío. La ventana no cerraba bien y entraba el aire frío de la calle. Bañera sucia con las juntas negras de moho, paredes con el papel despegado y trozos de pared desenganchadas. Un desastre todo... ",2019-01-14
90587,1,44,Catalonia Sagrada Familia,"6,3","La habitación estaba muy bien y se veía gran calidad en casi todo y buenos detalles.  En cuanto al servicio, la mayor parte de él nos trató muy bien pero una recepcionista nos mintió descaradamente.","En nuestra habitación se estuvo oyendo durante toda la noche el ruido de una máquina y apenas pudimos dormir, cuando llamamos el chico con el que hablamos dijo que ya sabía lo que pasaba y nos ofrecieron cambiar la habitación pero ya nos quedaban pocas horas y renunciamos.  Al día siguiente la recepcionista tuvo la poca vergüenza de decir que no tenían constancia de ese ruido y que nadie se había quejado.",2019-01-11
90587,1,45,Catalonia Sagrada Familia,"9,6","La ubicación es ideal, muy cerca de la línea 1 del metro y de la Sagrada Familia, el personal es muy atento y las instalaciones son básicas pero limpias y agradables, buena cama!",Todo estuvo bien,2019-01-07
